,Start,End,Crackles,Wheezes,duration,start_index,end_index,start_index_int,end_index_int,y_segment,source
0,0.364,3.25,0,1,2.886,8026.2,71662.5,8026,71662,[0.1125348  0.1121249  0.11266176 ... 0.01831098 0.01867399 0.01868314],103_2b2_Ar_mc_LittC2SE
1,3.25,6.636,0,0,3.386,71662.5,146323.8,71662,146323,[0.01926376 0.01961151 0.01983948 ... 0.52545995 0.5261424  0.52665335],103_2b2_Ar_mc_LittC2SE
2,6.636,11.179,0,1,4.543,146323.8,246496.95,146323,246496,[0.5280854  0.5292197  0.5306477  ... 0.1546233  0.15460451 0.15476002],103_2b2_Ar_mc_LittC2SE
3,11.179,14.25,0,1,3.0709999999999997,246496.95,314212.5,246496,314212,"[ 0.1556943   0.15584122  0.1559852  ... -0.044659   -0.04398832
 -0.04297083]",103_2b2_Ar_mc_LittC2SE
4,14.25,16.993,0,1,2.7429999999999986,314212.5,374695.64999999997,314212,374695,"[-0.04255499 -0.04233749 -0.04191085 ... -0.61861944 -0.6188057
 -0.6186458 ]",103_2b2_Ar_mc_LittC2SE
5,16.993,19.979,0,0,2.9860000000000007,374695.64999999997,440536.94999999995,374695,440536,"[-0.61836654 -0.6186667  -0.6181898  ... -0.27217272 -0.2720743
 -0.27193236]",103_2b2_Ar_mc_LittC2SE
0,0.0,1.8771,0,0,1.8771,0.0,41390.055,0,41390,"[ 3.32474592e-05  6.57839610e-06 -3.78081895e-05 ...  1.12722956e-01
  1.12901554e-01  1.13065273e-01]",104_1b1_Al_sc_Litt3200
1,1.8771,3.7543,0,0,1.8772000000000002,41390.055,82782.315,41390,82782,[0.11321448 0.11335007 0.11347356 ... 0.00559578 0.00551628 0.00544696],104_1b1_Al_sc_Litt3200
2,3.7543,6.1071,0,0,2.3528,82782.315,134661.555,82782,134661,[0.00537921 0.00530353 0.00521001 ... 0.06320489 0.06291243 0.06261287],104_1b1_Al_sc_Litt3200
3,6.1071,8.2502,0,0,2.1430999999999996,134661.555,181916.91,134661,181916,[0.06230782 0.06199836 0.06168518 ... 0.07140783 0.07138324 0.07133593],104_1b1_Al_sc_Litt3200
4,8.2502,12.618,0,0,4.367800000000001,181916.91,278226.9,181916,278226,"[ 0.07126802  0.07118128  0.07107722 ... -0.03379197 -0.0344026
 -0.03499973]",104_1b1_Al_sc_Litt3200
5,12.618,15.856,0,0,3.2379999999999995,278226.9,349624.8,278226,349624,"[-0.03558433 -0.03615776 -0.03672171 ... -0.01920479 -0.01411559
 -0.00896919]",104_1b1_Al_sc_Litt3200
0,0.0,0.54469,0,1,0.54469,0.0,12010.4145,0,12010,[0.00079482 0.00090281 0.00091363 ... 0.04041764 0.0407795  0.04118201],104_1b1_Ar_sc_Litt3200
1,0.54469,2.9628,0,1,2.41811,12010.4145,65329.740000000005,12010,65329,[0.04162371 0.04210203 0.04261319 ... 0.00270933 0.00226557 0.0018283 ],104_1b1_Ar_sc_Litt3200
2,2.9628,5.1085,0,1,2.1457,65329.740000000005,112642.425,65329,112642,[0.0014008  0.00098666 0.00058948 ... 0.02714102 0.02719009 0.02725554],104_1b1_Ar_sc_Litt3200
3,5.1085,7.2172,0,1,2.1087,112642.425,159139.26,112642,159139,"[ 0.02733563  0.02742871  0.02753306 ... -0.02715426 -0.02669554
 -0.02619522]",104_1b1_Ar_sc_Litt3200
4,7.2172,9.1442,0,1,1.9269999999999996,159139.26,201629.61,159139,201629,"[-0.02566245 -0.02510664 -0.02453699 ...  0.01255023  0.0121829
  0.01173375]",104_1b1_Ar_sc_Litt3200
5,9.1442,10.675,0,1,1.530800000000001,201629.61,235383.75000000003,201629,235383,[0.01120591 0.01060436 0.00993584 ... 0.02639707 0.02647535 0.0265531 ],104_1b1_Ar_sc_Litt3200
6,10.675,12.371,0,1,1.6959999999999997,235383.75000000003,272780.55,235383,272780,[0.02663463 0.02672472 0.02682835 ... 0.00404162 0.0039789  0.0039093 ],104_1b1_Ar_sc_Litt3200
7,12.371,14.381,0,1,2.01,272780.55,317101.05,272780,317101,"[ 0.00383328  0.00375187  0.00366653 ... -0.02582864 -0.02581503
 -0.02577339]",104_1b1_Ar_sc_Litt3200
8,14.381,16.535,0,1,2.154,317101.05,364596.75,317101,364596,"[-0.02569773 -0.0255836  -0.02542816 ... -0.03480137 -0.03532936
 -0.03586055]",104_1b1_Ar_sc_Litt3200
9,16.535,19.048,0,1,2.512999999999998,364596.75,420008.39999999997,364596,420008,"[-0.03638651 -0.03689978 -0.03739376 ... -0.02851079 -0.02865288
 -0.02876352]",104_1b1_Ar_sc_Litt3200
10,19.048,22.176,0,0,3.128,420008.39999999997,488980.8,420008,488980,"[-0.02884425 -0.02889778 -0.02892769 ... -0.00129308 -0.00162681
 -0.00196176]",104_1b1_Ar_sc_Litt3200
11,22.176,22.951,0,0,0.7750000000000021,488980.8,506069.55,488980,506069,"[-0.00229545 -0.00262651 -0.00295467 ...  0.01545848  0.01525806
  0.01505484]",104_1b1_Ar_sc_Litt3200
12,22.951,24.664,0,0,1.713000000000001,506069.55,543841.2000000001,506069,543841,"[ 0.01484886  0.01464032  0.01442955 ... -0.01902184 -0.02004684
 -0.02109293]",104_1b1_Ar_sc_Litt3200
13,24.664,25.584,0,0,0.9199999999999982,543841.2000000001,564127.2,543841,564127,"[-0.02213409 -0.02314535 -0.02410362 ... -0.00740573 -0.00499051
 -0.00272771]",104_1b1_Ar_sc_Litt3200
0,0.94188,2.8018,0,0,1.85992,20768.454,61779.69,20768,61779,"[-0.00414537 -0.00425691 -0.00436742 ...  0.02291123  0.02289329
  0.02287285]",104_1b1_Ll_sc_Litt3200
1,2.8018,4.6915,0,0,1.8896999999999995,61779.69,103447.575,61779,103447,"[ 0.02285013  0.02282524  0.02279831 ... -0.02856245 -0.02844706
 -0.02832852]",104_1b1_Ll_sc_Litt3200
2,4.6915,6.7065,0,0,2.0150000000000006,103447.575,147878.325,103447,147878,"[-0.02820662 -0.02808169 -0.02795461 ... -0.01924223 -0.01924038
 -0.01924356]",104_1b1_Ll_sc_Litt3200
3,6.7065,8.8287,0,0,2.1221999999999994,147878.325,194672.835,147878,194672,"[-0.01925259 -0.01926749 -0.01928744 ... -0.08497564 -0.08511266
 -0.08525487]",104_1b1_Ll_sc_Litt3200
4,8.8287,10.396,1,0,1.5673000000000012,194672.835,229231.80000000002,194672,229231,"[-0.08540142 -0.08555132 -0.08570345 ... -0.00095101 -0.00096691
 -0.00097708]",104_1b1_Ll_sc_Litt3200
5,10.396,12.721,0,0,2.3249999999999993,229231.80000000002,280498.05,229231,280498,"[-0.00098168 -0.0009811  -0.00097586 ...  0.02237014  0.02222171
  0.02206087]",104_1b1_Ll_sc_Litt3200
6,12.721,18.48,0,0,5.759,280498.05,407484.0,280498,407484,"[ 0.02188852  0.02170544  0.02151229 ... -0.01819364 -0.01195082
 -0.00616624]",104_1b1_Ll_sc_Litt3200
0,0.74635,2.6365,0,0,1.8901499999999998,16457.017499999998,58134.825,16457,58134,"[-0.11839215 -0.11778881 -0.11714352 ...  0.01083024  0.01098586
  0.01112272]",104_1b1_Lr_sc_Litt3200
1,2.6365,4.2164,0,0,1.5799000000000003,58134.825,92971.62000000001,58134,92971,[0.01124108 0.01134151 0.01142494 ... 0.06433369 0.06413005 0.06392194],104_1b1_Lr_sc_Litt3200
2,4.2164,6.4167,0,0,2.2002999999999995,92971.62000000001,141488.235,92971,141488,[0.06370945 0.06349208 0.06326898 ... 0.01532546 0.0152826  0.01524667],104_1b1_Lr_sc_Litt3200
3,6.4167,8.8302,0,0,2.4135,141488.235,194705.91,141488,194705,"[ 0.01521888  0.01520007  0.01519082 ... -0.01099788 -0.01095695
 -0.0109132 ]",104_1b1_Lr_sc_Litt3200
4,8.8302,15.024,0,0,6.1937999999999995,194705.91,331279.19999999995,194705,331279,"[-0.01086755 -0.01082075 -0.01077333 ... -0.02214698 -0.01499865
 -0.00824898]",104_1b1_Lr_sc_Litt3200
0,0.0,1.0665,0,0,1.0665,0.0,23516.325,0,23516,"[ 0.0011067   0.00130463  0.00140605 ... -0.05966845 -0.05979186
 -0.05991016]",104_1b1_Pl_sc_Litt3200
1,1.0665,2.5256,0,0,1.4590999999999998,23516.325,55689.479999999996,23516,55689,"[-0.06002258 -0.0601293  -0.06023148 ...  0.05145012  0.0516897
  0.05194828]",104_1b1_Pl_sc_Litt3200
2,2.5256,4.7475,0,0,2.2218999999999998,55689.479999999996,104682.37499999999,55689,104682,[0.05222735 0.05252743 0.05284779 ... 0.02132558 0.02128873 0.02126333],104_1b1_Pl_sc_Litt3200
3,4.7475,7.2102,0,0,2.4627000000000008,104682.37499999999,158984.91,104682,158984,"[ 0.02124695  0.02123695  0.02123081 ... -0.02234179 -0.02234343
 -0.02233507]",104_1b1_Pl_sc_Litt3200
4,7.2102,10.062,0,0,2.851799999999999,158984.91,221867.09999999998,158984,221867,"[-0.02231564 -0.02228602 -0.02224892 ... -0.0319663  -0.03214361
 -0.03228037]",104_1b1_Pl_sc_Litt3200
5,10.062,10.88,0,0,0.8180000000000014,221867.09999999998,239904.00000000003,221867,239904,"[-0.03237274 -0.03241806 -0.03241502 ... -0.01109168 -0.01105585
 -0.01100867]",104_1b1_Pl_sc_Litt3200
6,10.88,11.632,0,0,0.7519999999999989,239904.00000000003,256485.6,239904,256485,"[-0.01095291 -0.01089083 -0.01082403 ...  0.02998072  0.03006622
  0.03014132]",104_1b1_Pl_sc_Litt3200
7,11.632,13.135,0,0,1.5030000000000001,256485.6,289626.75,256485,289626,[0.03020667 0.03026294 0.0303107  ... 0.06568576 0.06586522 0.06604704],104_1b1_Pl_sc_Litt3200
8,13.135,16.165,0,0,3.0299999999999994,289626.75,356438.25,289626,356438,"[ 0.0662321   0.06642085  0.06661344 ... -0.05259841 -0.05248714
 -0.05237809]",104_1b1_Pl_sc_Litt3200
9,16.165,17.805,0,0,1.6400000000000006,356438.25,392600.25,356438,392600,"[-0.05227108 -0.05216581 -0.05206184 ...  0.02518636  0.02521354
  0.02524734]",104_1b1_Pl_sc_Litt3200
10,17.805,20.212,0,0,2.407,392600.25,445674.6,392600,445674,"[ 0.02528855  0.02533789  0.02539599 ... -0.02900868 -0.02925843
 -0.02950833]",104_1b1_Pl_sc_Litt3200
11,20.212,21.79,0,0,1.5779999999999994,445674.6,480469.5,445674,480469,"[-0.0297578  -0.03000638 -0.03025368 ...  0.00752778  0.00741546
  0.00731682]",104_1b1_Pl_sc_Litt3200
12,21.79,22.96,0,0,1.1700000000000017,480469.5,506268.0,480469,506268,"[ 0.00723252  0.00716222  0.00710476 ... -0.01230831 -0.00811683
 -0.00420772]",104_1b1_Pl_sc_Litt3200
0,2.6828,5.7942,0,0,3.1114,59155.74,127762.11,59155,127762,"[-0.00761401 -0.00799492 -0.00836879 ...  0.03831738  0.03859908
  0.03886975]",104_1b1_Pr_sc_Litt3200
1,5.7942,7.8379,0,0,2.0437000000000003,127762.11,172825.695,127762,172825,[0.03912861 0.03937506 0.03960877 ... 0.07450464 0.07463405 0.07476241],104_1b1_Pr_sc_Litt3200
2,7.8379,10.199,0,0,2.3610999999999995,172825.695,224887.94999999998,172825,224887,"[ 0.07488981  0.0750164   0.07514244 ... -0.05676123 -0.0568504
 -0.05694117]",104_1b1_Pr_sc_Litt3200
3,10.199,12.817,0,0,2.6180000000000003,224887.94999999998,282614.85,224887,282614,"[-0.05702686 -0.05710105 -0.05715772 ... -0.01365255 -0.01352947
 -0.01334665]",104_1b1_Pr_sc_Litt3200
4,12.817,15.006,0,0,2.189,282614.85,330882.3,282614,330882,"[-0.01310224 -0.01279596 -0.01242911 ...  0.00464149  0.00445194
  0.00428626]",104_1b1_Pr_sc_Litt3200
5,15.006,18.439,0,0,3.433,330882.3,406579.95,330882,406579,[0.00415274 0.00405809 0.00400722 ... 0.01288789 0.01287999 0.01286025],104_1b1_Pr_sc_Litt3200
6,18.439,19.633,0,0,1.193999999999999,406579.95,432907.64999999997,406579,432907,"[ 0.01282807  0.01278343  0.01272688 ... -0.12757541 -0.12713446
 -0.1266774 ]",104_1b1_Pr_sc_Litt3200
7,19.633,20.387,0,0,0.7540000000000013,432907.64999999997,449533.35000000003,432907,449533,"[-0.1262039  -0.12571378 -0.12520736 ... -0.01660475 -0.01660136
 -0.01660149]",104_1b1_Pr_sc_Litt3200
8,20.387,22.209,0,0,1.8219999999999992,449533.35000000003,489708.45,449533,489708,"[-0.01660407 -0.01660784 -0.01661148 ...  0.00060568  0.00051639
  0.00042862]",104_1b1_Pr_sc_Litt3200
9,22.209,23.728,0,0,1.519000000000002,489708.45,523202.4,489708,523202,"[ 0.00034211  0.00025665  0.00017211 ... -0.07171813 -0.05016598
 -0.02922992]",104_1b1_Pr_sc_Litt3200
0,0.036,2.279,0,0,2.243,793.8,50251.95,793,50251,"[-0.04827248 -0.05195927 -0.05565038 ...  0.00510798  0.00579538
  0.00512322]",105_1b1_Tc_sc_Meditron
1,2.279,4.879,0,0,2.5999999999999996,50251.95,107581.95,50251,107581,[0.00639374 0.00559734 0.00509843 ... 0.00712775 0.00690993 0.00731721],105_1b1_Tc_sc_Meditron
2,4.879,7.507,0,0,2.628,107581.95,165529.35,107581,165529,"[ 0.00694068  0.00736733  0.00652181 ... -0.00072264 -0.00190989
 -0.00132536]",105_1b1_Tc_sc_Meditron
3,7.507,10.336,0,0,2.8290000000000006,165529.35,227908.80000000002,165529,227908,"[-0.00085062 -0.00159655 -0.00030179 ...  0.00548838  0.0040767
  0.00479884]",105_1b1_Tc_sc_Meditron
4,10.336,13.364,0,0,3.0280000000000005,227908.80000000002,294676.2,227908,294676,"[ 0.00485256  0.00464158  0.00500634 ... -0.02531679 -0.02365879
 -0.02478516]",105_1b1_Tc_sc_Meditron
5,13.364,16.179,0,0,2.8149999999999977,294676.2,356746.94999999995,294676,356746,"[-0.02437198 -0.02472871 -0.02454373 ...  0.02799272  0.02926083
  0.02814334]",105_1b1_Tc_sc_Meditron
6,16.179,19.007,0,0,2.828000000000003,356746.94999999995,419104.35000000003,356746,419104,"[ 0.0285709   0.02889712  0.02778606 ... -0.01252309 -0.01270436
 -0.01270608]",105_1b1_Tc_sc_Meditron
7,19.007,19.907,0,0,0.8999999999999986,419104.35000000003,438949.35,419104,438949,"[-0.01243424 -0.01236091 -0.01212089 ...  0.08569321  0.08505485
  0.08538534]",105_1b1_Tc_sc_Meditron
0,0.036,2.164,1,0,2.128,793.8,47716.200000000004,793,47716,"[-0.01465775 -0.01269677 -0.01079584 ... -0.00609153 -0.00549659
 -0.00626848]",106_2b1_Pl_mc_LittC2SE
1,2.164,4.621,1,0,2.4570000000000003,47716.200000000004,101893.05,47716,101893,"[-0.00611558 -0.00554547 -0.00573567 ... -0.017952   -0.01824843
 -0.01759312]",106_2b1_Pl_mc_LittC2SE
2,4.621,7.179,0,0,2.558,101893.05,158296.95,101893,158296,"[-0.01700191 -0.01662924 -0.01618095 ... -0.0010905  -0.00172896
 -0.00142783]",106_2b1_Pl_mc_LittC2SE
3,7.179,9.636,1,0,2.456999999999999,158296.95,212473.8,158296,212473,"[-0.00220104 -0.00228517 -0.00174055 ...  0.00900394  0.00910443
  0.0096233 ]",106_2b1_Pl_mc_LittC2SE
4,9.636,12.007,1,0,2.3710000000000004,212473.8,264754.35,212473,264754,[0.00935449 0.009068   0.00921597 ... 0.00393176 0.00400582 0.00395583],106_2b1_Pl_mc_LittC2SE
5,12.007,14.407,1,0,2.4000000000000004,264754.35,317674.35,264754,317674,[0.00362141 0.00374637 0.00380654 ... 0.00617437 0.00567832 0.00508654],106_2b1_Pl_mc_LittC2SE
6,14.407,16.793,1,0,2.3859999999999992,317674.35,370285.64999999997,317674,370285,[0.00406473 0.00358262 0.00295209 ... 0.00620671 0.00606627 0.00599958],106_2b1_Pl_mc_LittC2SE
7,16.793,19.207,1,0,2.4140000000000015,370285.64999999997,423514.35000000003,370285,423514,"[ 0.00637622  0.00633078  0.00606252 ... -0.01557356 -0.01608281
 -0.01561313]",106_2b1_Pl_mc_LittC2SE
8,19.207,19.964,1,0,0.7569999999999979,423514.35000000003,440206.19999999995,423514,440206,"[-0.01445707 -0.01506297 -0.01491848 ... -0.06347797 -0.06045558
 -0.05758743]",106_2b1_Pl_mc_LittC2SE
0,0.064,2.079,0,1,2.015,1411.2,45841.950000000004,1411,45841,[0.09296228 0.09233125 0.09171256 ... 0.09282671 0.09311497 0.0931007 ],106_2b1_Pr_mc_LittC2SE
1,2.079,4.579,0,1,2.4999999999999996,45841.950000000004,100966.95,45841,100966,[0.0931673  0.0933699  0.0935584  ... 0.17127013 0.17149273 0.17168191],106_2b1_Pr_mc_LittC2SE
2,4.579,7.093,0,0,2.5140000000000002,100966.95,156400.65,100966,156400,"[ 0.17188805  0.1724117   0.17277247 ... -0.1086423  -0.1079445
 -0.1072614 ]",106_2b1_Pr_mc_LittC2SE
3,7.093,9.607,0,1,2.5139999999999993,156400.65,211834.34999999998,156400,211834,"[-0.10644318 -0.10561006 -0.10507263 ... -0.2311222  -0.23079939
 -0.23048632]",106_2b1_Pr_mc_LittC2SE
4,9.607,12.021,0,1,2.4140000000000015,211834.34999999998,265063.05000000005,211834,265063,"[-0.23030311 -0.23005602 -0.22963434 ... -0.03272801 -0.03290106
 -0.03320753]",106_2b1_Pr_mc_LittC2SE
5,12.021,14.336,0,1,2.3149999999999995,265063.05000000005,316108.8,265063,316108,"[-0.03333212 -0.03359314 -0.03365259 ...  0.45515406  0.45531243
  0.45536715]",106_2b1_Pr_mc_LittC2SE
6,14.336,16.807,0,1,2.4709999999999983,316108.8,370594.35,316108,370594,[0.4558037  0.45607397 0.45631158 ... 0.02089018 0.02048616 0.01999029],106_2b1_Pr_mc_LittC2SE
7,16.807,19.121,0,1,2.314,370594.35,421618.05,370594,421618,"[ 0.01935659  0.01899511  0.01831297 ... -0.00343494 -0.00313802
 -0.002592  ]",106_2b1_Pr_mc_LittC2SE
8,19.121,19.979,0,0,0.8580000000000005,421618.05,440536.94999999995,421618,440536,"[-0.00242736 -0.00218002 -0.00147747 ... -0.14796677 -0.14696978
 -0.14586127]",106_2b1_Pr_mc_LittC2SE
0,0.887,2.601,1,0,1.714,19558.35,57352.05,19558,57352,"[-0.30278012 -0.305651   -0.3086022  ... -0.0870439  -0.08995967
 -0.09448712]",107_2b3_Al_mc_AKGC417L
1,2.601,5.327,1,0,2.726,57352.05,117460.35,57352,117460,"[-0.09781038 -0.10110725 -0.10478044 ... -0.7390444  -0.73540825
 -0.72843933]",107_2b3_Al_mc_AKGC417L
2,5.327,7.923,1,0,2.596,117460.35,174702.15,117460,174702,"[-0.721177   -0.716767   -0.71004045 ...  0.14658739  0.15012763
  0.15626831]",107_2b3_Al_mc_AKGC417L
3,7.923,10.53,1,0,2.6069999999999993,174702.15,232186.5,174702,232186,"[ 0.16182362  0.16723047  0.1732031  ... -1.0000001  -1.0000001
 -1.0000001 ]",107_2b3_Al_mc_AKGC417L
4,10.53,13.196,1,0,2.6660000000000004,232186.5,290971.8,232186,290971,"[-1.0000001  -1.0000001  -1.0000001  ... -0.04835759 -0.04971265
 -0.05136848]",107_2b3_Al_mc_AKGC417L
5,13.196,15.565,1,0,2.3689999999999998,290971.8,343208.25,290971,343208,"[-0.05129703 -0.05326346 -0.05606829 ...  0.8393555   0.84790546
  0.8518941 ]",107_2b3_Al_mc_AKGC417L
6,15.565,18.054,1,0,2.488999999999999,343208.25,398090.69999999995,343208,398090,"[ 0.8560635   0.86105627  0.86196774 ... -0.06993932 -0.07049795
 -0.07104245]",107_2b3_Al_mc_AKGC417L
7,18.054,19.101,0,0,1.0470000000000006,398090.69999999995,421177.05,398090,421177,"[-0.07171988 -0.07435416 -0.07413782 ... -0.14245768 -0.14483422
 -0.14953393]",107_2b3_Al_mc_AKGC417L
0,0.887,2.601,1,0,1.714,19558.35,57352.05,19558,57352,"[-0.5869052  -0.5916553  -0.5969845  ...  0.02810396  0.02789736
  0.02955035]",107_2b3_Ar_mc_AKGC417L
1,2.601,5.327,1,1,2.726,57352.05,117460.35,57352,117460,"[ 0.0287593   0.02650083  0.02847807 ... -0.30743474 -0.30988863
 -0.31329417]",107_2b3_Ar_mc_AKGC417L
